leesin,34.6,49.1,10.7
ezreal,32.9,48.8,0.2
jhin,31.3,50.4,0.5
thresh,30.4,50.1,0.4
khazix,29.2,54.2,32.9
caitlyn,27.6,50.3,1.7
janna,21.5,52.8,1.1
varus,21.4,50.9,0.2
malzahar,18.3,50.8,38.9
maokai,16.6,50.0,1.6
corki,16.2,51.5,1.7
jayce,15.9,52.6,19.9
zyra,15.7,50.4,2.7
vayne,15.7,49.4,6.1
yasuo,15.5,48.4,19.8
karma,15.3,48.3,0.2
orianna,15.0,47.9,0.6
riven,15.0,50.8,3.8
ashe,14.8,48.0,0.1
ahri,14.1,51.9,1.0
missfortune,13.4,48.3,0.2
fiora,13.4,49.5,4.3
elise,13.2,48.7,2.4
ryze,12.4,45.1,13.3
hecarim,12.2,49.5,24.4
blitzcrank,12.2,52.8,0.6
gangplank,12.1,49.3,1.2
vi,12.0,51.6,9.2
rengar,11.7,54.3,61.3
syndra,11.5,50.0,24.1
nami,10.8,49.9,0.1
nautilus,10.7,50.0,0.7
ekko,10.6,50.2,0.7
lucian,10.6,45.4,0.0
poppy,10.5,48.3,6.7
morgana,9.9,50.7,0.6
darius,9.7,51.7,9.8
graves,9.4,50.0,0.7
twistedfate,9.3,52.4,0.7
lulu,9.2,51.0,0.1
ziggs,9.0,53.2,3.2
draven,8.3,52.6,1.0
shaco,8.2,52.4,3.0
soraka,8.1,52.8,0.4
zed,7.9,50.6,5.9
zac,7.9,49.4,4.9
cassiopeia,7.8,49.4,1.6
katarina,7.5,52.3,73.6
twitch,7.4,52.3,0.7
viktor,7.3,45.6,0.3
leblanc,7.1,53.2,76.3
lux,6.9,46.6,0.1
reksai,6.9,47.0,0.3
brand,6.5,49.2,0.5
warwick,6.5,41.4,17.4
irelia,6.4,49.0,1.4
jinx,6.3,49.2,0.1
singed,6.1,50.0,1.0
ivern,5.6,55.8,4.7
evelynn,5.5,49.2,4.1
nocturne,5.5,49.3,0.6
camille,5.5,51.7,80.6
bard,5.3,47.3,0.1
kennen,5.2,48.2,0.7
jax,5.2,48.2,0.2
leona,5.2,50.0,0.0
xerath,5.0,52.0,0.2
rumble,5.0,49.3,0.2
zilean,4.9,50.4,0.1
renekton,4.8,50.7,0.2
malphite,4.6,50.1,0.3
velkoz,4.6,49.8,0.1
braum,4.6,44.9,0.2
alistar,4.6,47.2,0.3
fizz,4.5,49.1,1.2
taliyah,4.4,50.3,0.1
annie,4.4,52.7,0.3
talon,4.4,55.0,0.4
sivir,4.3,49.3,0.0
kled,4.3,49.9,0.5
pantheon,4.2,55.8,0.7
kalista,4.1,49.0,0.1
wukong,4.0,51.0,0.1
swain,3.8,52.0,0.3
shen,3.8,47.3,0.1
olaf,3.7,48.4,0.2
jarvaniv,3.6,47.4,0.1
sona,3.5,50.4,0.1
tryndamere,3.4,52.5,0.2
kassadin,3.3,48.5,0.1
kayle,3.2,50.6,0.2
veigar,3.2,48.1,0.2
tahmkench,3.2,46.7,0.1
gragas,3.1,46.4,0.1
lissandra,2.9,48.8,0.0
sion,2.9,51.8,0.0
anivia,2.9,49.4,0.1
masteryi,2.8,41.8,0.3
teemo,2.7,47.7,0.2
akali,2.7,52.1,0.4
illaoi,2.6,48.2,0.5
taric,2.5,50.2,0.0
nasus,2.5,49.8,0.1
trundle,2.4,47.9,0.0
quinn,2.4,51.9,0.1
nidalee,2.3,45.4,0.2
rammus,2.2,50.1,0.1
diana,2.2,47.5,0.1
tristana,2.1,47.9,0.0
shyvana,1.9,48.4,0.2
karthus,1.9,51.1,0.1
kogmaw,1.9,50.2,0.1
azir,1.7,41.6,0.1
aurelionsol,1.7,56.1,0.2
mordekaiser,1.7,53.1,0.2
amumu,1.7,47.4,0.1
garen,1.6,43.3,0.4
fiddlesticks,1.6,48.1,0.1
vladimir,1.6,45.2,0.1
gnar,1.6,43.1,0.1
xinzhao,1.4,48.5,0.0
yorick,1.4,47.5,0.1
skarner,1.3,49.6,0.1
sejuani,1.2,46.2,0.0
kindred,1.1,50.1,0.0
drmundo,0.8,47.3,0.1
chogath,0.8,43.2,0.1
volibear,0.8,48.2,0.0
udyr,0.7,51.2,0.0
urgot,0.6,47.4,0.1
heimerdinger,0.6,50.9,0.1
aatrox,0.6,50.6,0.8
galio,0.6,43.7,0.1
nunu,0.5,43.7,0.1
leesin,33.9,49.3,10.0
ezreal,32.8,48.9,0.2
jhin,32.5,51.1,0.5
thresh,30.4,49.8,0.3
khazix,29.1,54.0,34.3
caitlyn,26.9,49.8,1.6
varus,22.0,50.3,0.3
janna,21.0,52.6,1.0
malzahar,18.1,50.9,38.7
jayce,16.4,52.2,20.6
maokai,16.0,49.6,1.6
corki,16.0,51.3,1.7
zyra,15.7,50.0,2.8
vayne,15.2,48.0,5.9
riven,15.1,51.6,3.6
karma,15.0,48.6,0.2
orianna,14.6,48.3,0.6
yasuo,14.6,47.0,18.5
ahri,14.3,51.9,1.0
missfortune,14.3,49.1,0.2
ashe,14.1,48.1,0.1
fiora,13.6,49.6,4.5
elise,13.0,49.7,2.5
gangplank,12.5,48.9,1.2
ryze,12.1,45.6,12.6
blitzcrank,11.8,52.7,0.5
hecarim,11.5,48.9,22.7
syndra,11.4,49.6,23.0
vi,11.4,51.9,8.4
rengar,11.2,54.3,61.4
warwick,11.1,42.5,29.0
lucian,10.8,46.1,0.0
nami,10.7,51.0,0.1
lulu,10.5,51.6,0.1
nautilus,10.4,49.6,0.6
ekko,10.4,49.7,0.7
poppy,9.9,48.4,5.9
graves,9.9,49.9,0.7
morgana,9.7,50.2,0.6
twistedfate,9.4,52.1,0.7
ziggs,8.9,52.9,2.7
darius,8.9,51.1,8.5
draven,8.5,52.7,0.9
zed,8.4,51.1,6.0
soraka,8.3,52.6,0.3
shaco,8.0,53.3,3.0
cassiopeia,8.0,49.5,1.5
katarina,7.7,51.2,72.6
zac,7.5,50.3,4.5
viktor,7.4,46.6,0.3
twitch,7.1,51.1,0.6
leblanc,7.1,54.2,76.1
lux,6.8,47.0,0.1
brand,6.6,49.5,0.5
irelia,6.6,49.2,1.4
reksai,6.3,47.3,0.3
jinx,6.1,50.4,0.1
singed,5.6,50.0,1.0
camille,5.5,52.2,79.4
evelynn,5.5,49.7,3.9
nocturne,5.3,49.0,0.7
jax,5.3,49.2,0.3
bard,5.3,47.9,0.1
ivern,5.2,55.8,4.2
kennen,5.2,48.1,0.7
leona,5.0,49.6,0.1
xerath,4.9,51.5,0.2
zilean,4.9,51.8,0.1
rumble,4.9,50.4,0.2
malphite,4.8,50.7,0.3
velkoz,4.8,49.5,0.1
renekton,4.7,51.1,0.2
braum,4.7,45.2,0.2
talon,4.7,55.3,0.4
alistar,4.6,47.2,0.3
pantheon,4.5,53.4,0.7
taliyah,4.4,48.7,0.1
sivir,4.3,48.7,0.0
fizz,4.3,50.0,1.1
annie,4.3,53.9,0.3
kled,4.2,50.2,0.5
wukong,3.9,50.6,0.1
gragas,3.9,48.9,0.1
shen,3.8,47.7,0.1
kalista,3.7,48.2,0.1
swain,3.7,51.7,0.2
jarvaniv,3.5,46.9,0.1
tryndamere,3.5,50.7,0.2
sona,3.4,52.0,0.0
olaf,3.4,48.5,0.2
kayle,3.2,52.3,0.2
kassadin,3.2,47.7,0.1
veigar,3.2,46.9,0.1
masteryi,3.1,43.5,0.4
tahmkench,3.1,45.9,0.1
lissandra,2.9,47.8,0.0
akali,2.9,51.4,0.4
sion,2.9,50.2,0.0
nidalee,2.9,45.0,0.3
anivia,2.8,50.2,0.1
illaoi,2.6,48.0,0.5
teemo,2.6,48.0,0.2
trundle,2.5,48.0,0.1
taric,2.5,50.9,0.0
quinn,2.4,55.2,0.1
nasus,2.4,48.3,0.1
diana,2.1,46.9,0.1
rammus,2.1,50.4,0.1
tristana,2.1,47.0,0.0
karthus,1.9,52.4,0.1
kogmaw,1.9,54.2,0.1
aurelionsol,1.7,56.8,0.2
mordekaiser,1.7,52.0,0.2
shyvana,1.7,46.3,0.1
azir,1.7,43.5,0.1
garen,1.6,45.0,0.4
amumu,1.6,47.2,0.1
vladimir,1.6,47.4,0.1
fiddlesticks,1.6,47.9,0.1
gnar,1.5,41.4,0.0
xinzhao,1.4,51.2,0.0
yorick,1.4,47.9,0.1
skarner,1.2,49.7,0.1
sejuani,1.1,47.2,0.0
kindred,1.0,47.3,0.0
drmundo,0.9,47.9,0.1
chogath,0.8,41.4,0.1
udyr,0.8,49.5,0.0
aatrox,0.7,50.0,0.8
urgot,0.7,48.2,0.1
volibear,0.6,46.5,0.0
galio,0.6,45.0,0.1
heimerdinger,0.6,50.3,0.1
nunu,0.6,46.2,0.1
